CURRENCY,PRICE,CHANGE,%CHANGE,OPEN,PREV.CLOSE,DAY's LOW-HIGH,USD/INR,82.0375,-0.002502,-0.00305,82.00,82.04,"81.935-
						82.0525",EUR/USD,1.0895,0.0001,0.00917,1.0892,1.0894,"1.0888-
						1.0911",GBP/INR,104.5016,0.165298,0.158429,104.4681,104.3363,"104.2238-
						104.5463",EUR/INR,89.356,0.234604,0.263241,89.45,89.1214,"89.2727-
						89.466",USD/JPY,143.147,-0.552994,-0.384825,143.70,143.70,"142.94-
						143.72",GBP/USD,1.2733,0.0019,0.149448,1.2719,1.2714,"1.2711-
						1.2749",DXY Index,102.779,-0.124001,-0.120502,102.825,102.903,"102.673-
						102.83",JPY/INR,0.573,0.0022,0.385425,0.5717,0.5708,"0.5713-
						0.5738",USD/CAD,1.3167,-0.0016,-0.12137,1.3181,1.3183,"1.3139-
						1.3182",USD/SGD,1.353,0.0011,0.081372,1.3517,1.3519,"1.3503-
						1.3539",AUD/USD,0.6671,-0.0009,-0.134726,0.6675,0.668,"0.6669-
						0.6694",USD/SEK,10.3308,-0.3752,-3.504579,10.7481,10.706,"10.3308-
						10.7594",CNY/INR,11.3544,-0.0716,-0.626641,11.421,11.426,"11.333-
						11.423",USD/CHF,0.8947,-0.0023,-0.256413,0.8966,0.897,"0.8946-
						0.8968",USD/THB,35.204,-0.006001,-0.017042,35.22,35.21,"35.111-
						35.276",USD/ZAR,18.5896,-0.1646,-0.877672,18.749,18.7542,"18.5893-
						18.768",USD/CNY,7.2188,0.0411,0.572607,7.1777,7.1777,"7.1777-
						7.2189",USD/HKD,7.8268,-0.003,-0.038318,7.8298,7.8298,"7.8263-
						7.832",USD/KRW,1305.9,-2.48999,-0.190309,1308.38,1308.39,"1301.80-
						1309.03",NZD/USD,0.6162,0.0019,0.309288,0.6134,0.6143,"0.6138-
						0.6176"
CURRENCY,PRICE,CHANGE,%CHANGE,OPEN,PREV.CLOSE,DAY's LOW-HIGH
USD/INR,82.0375,-0.002502,-0.00305,82.00,82.04,"81.935-
						82.0525"
EUR/USD,1.0895,0.0001,0.00917,1.0892,1.0894,"1.0888-
						1.0911"
GBP/INR,104.5016,0.165298,0.158429,104.4681,104.3363,"104.2238-
						104.5463"
EUR/INR,89.356,0.234604,0.263241,89.45,89.1214,"89.2727-
						89.466"
USD/JPY,143.147,-0.552994,-0.384825,143.70,143.70,"142.94-
						143.72"
GBP/USD,1.2733,0.0019,0.149448,1.2719,1.2714,"1.2711-
						1.2749"
DXY Index,102.779,-0.124001,-0.120502,102.825,102.903,"102.673-
						102.83"
JPY/INR,0.573,0.0022,0.385425,0.5717,0.5708,"0.5713-
						0.5738"
USD/CAD,1.3167,-0.0016,-0.12137,1.3181,1.3183,"1.3139-
						1.3182"
USD/SGD,1.353,0.0011,0.081372,1.3517,1.3519,"1.3503-
						1.3539"
AUD/USD,0.6671,-0.0009,-0.134726,0.6675,0.668,"0.6669-
						0.6694"
USD/SEK,10.3308,-0.3752,-3.504579,10.7481,10.706,"10.3308-
						10.7594"
CNY/INR,11.3544,-0.0716,-0.626641,11.421,11.426,"11.333-
						11.423"
USD/CHF,0.8947,-0.0023,-0.256413,0.8966,0.897,"0.8946-
						0.8968"
USD/THB,35.204,-0.006001,-0.017042,35.22,35.21,"35.111-
						35.276"
USD/ZAR,18.5896,-0.1646,-0.877672,18.749,18.7542,"18.5893-
						18.768"
USD/CNY,7.2188,0.0411,0.572607,7.1777,7.1777,"7.1777-
						7.2189"
USD/HKD,7.8268,-0.003,-0.038318,7.8298,7.8298,"7.8263-
						7.832"
USD/KRW,1305.9,-2.48999,-0.190309,1308.38,1308.39,"1301.80-
						1309.03"
NZD/USD,0.6162,0.0019,0.309288,0.6134,0.6143,"0.6138-
						0.6176"
